序号,日期,标题,url,解读评论,媒体名称,分类,调性分,质量分,正负面,导入时间,发布时间,曝光,点击,CTR,位置
20,4.30.,Fitbit将用Google Cloud，把数据提供给医生,http://view.inews.qq.com/a/20180430A1EWN600,,硅谷密探,科技,中,3,中,2018/4/30 23:46,2018/4/30 23:23,--,--,--,科技频道-精品池
21,4.30.,三星Galaxy A6在中国亮相，外形和三星S9一模一样？,http://view.inews.qq.com/a/20180430A1EJBC00,,科学的fan,数码,中,3,中,2018/4/30 23:46,2018/4/30 23:10,--,--,--,科技频道-精品池
22,4.30.,“滴滴司机打人”背后的网约车终极命题,http://view.inews.qq.com/a/20180430A16LN800,,寻找中国创客,科技,中,3,中,2018/4/30 20:57,2018/4/30 20:20,--,--,--,"财经频道-精品池,股票频道-精品池,科技频道-精品池"
23,4.30.,智能手机遭遇全球寒流？错！非洲热了印度凉了,http://view.inews.qq.com/a/20180430A1BTJ500,,懂懂笔记,财经,高,4,中,2018/4/30 22:37,2018/4/30 22:02,--,--,--,"财经频道-精品池,科技频道-精品池"
24,4.30.,小米宣称硬件净利润率永远不超5% 但首先是你得能达到,http://view.inews.qq.com/a/20180430A1DQYP00,,,数码,高,4,中,2018/4/30 22:59,2018/4/30 22:46,--,--,--,科技频道-精品池
25,4.30.,《2001太空漫游》50周年：一部电影和一整个时代,http://view.inews.qq.com/a/20180430A0UOET00,,量子位,科学,高,4,中,2018/4/30 21:30,2018/4/30 16:35,--,--,--,"科技频道-精品池,Top频道-精品池"
26,4.30.,《终结者》里的液态金属，会是我们造不出芯片的解决方案吗？,http://view.inews.qq.com/a/20180430A174YW00,,脑极体,科学,高,4,中,2018/4/30 21:35,2018/4/30 20:31,--,--,--,"科技频道-精品池,Top频道-精品池"
27,4.30.,Ocado的智能仓库来了，可它适合中国的新零售么？,http://view.inews.qq.com/a/20180430A0TBUN00,1,钛媒体APP,科技,高,3,中,2018/4/30 21:37,2018/4/30 16:01,--,--,--,"科技频道-精品池,Top频道-精品池"
28,4.30.,被打滴滴投资人再发声：医药费是自己付的，警方已找到司机,http://view.inews.qq.com/a/20180430A0WETV00,,澎湃新闻,社会,中,3,中,2018/4/30 17:24,2018/4/30 17:12,--,--,--,"股票频道-精品池,Top频道-精品池,上海地方站-精品池,财经频道-精品池,科技频道-精品池"
29,4.30.,小米之家疯狂扩张 近4天内全国将开61家门店,http://view.inews.qq.com/a/20180430A0W5N300,,TechWeb,科技,中,3,中,2018/4/30 17:22,2018/4/30 17:08,--,--,--,"股票频道-精品池,Top频道-精品池,科技频道-精品池"
30,4.30.,“有什么事儿不能发微信啊，非要打电话？”,http://view.inews.qq.com/a/20180430A16L3O00,,寻找中国创客,职场,高,4,中,2018/4/30 21:27,2018/4/30 20:20,--,--,--,"科技频道-精品池,Top频道-精品池"
31,4.30.,一线 | 火币与天涯社区合作 国内总部将迁入海南,http://view.inews.qq.com/a/TEC2018043001796900,,腾讯科技,科技,高,3,中,2018/4/30 21:27,2018/4/30 21:15,--,--,--,"科技频道-精品池,Top频道-精品池"
32,4.30.,疯狂的比特币市场，是时候被“击垮”了,http://view.inews.qq.com/a/20180430A0NYMN00,1,猎云网,财经,中,3,中,2018/4/30 14:24,2018/4/30 13:26,--,--,--,"科技频道-精品池,Top频道-精品池,财经频道-精品池"
33,4.30.,一线 | 聚美优品公布股票回购计划 1年最多回购1亿美元股票,http://view.inews.qq.com/a/TEC2018043001722000,,腾讯科技,财经,高,3,中,2018/4/30 19:44,2018/4/30 19:43,--,--,--,"科技频道-精品池,Top频道-精品池,股票频道-精品池,财经频道-精品池"
34,4.30.,刚败给AI又输日本小将，柯洁何时才能走出迷失,http://view.inews.qq.com/a/20180430A0SVFR00,,澎湃新闻,体育,中,3,中,2018/4/30 15:56,2018/4/30 15:48,--,--,--,"科技频道-精品池,河南地方站-精品池,宁德地方站-精品池,上海地方站-精品池"
35,4.30.,美国旧金山出台电动平衡车限制政策 最多允许投放2500辆,http://view.inews.qq.com/a/20180430A12ZEN00,,DoNews,社会,中,3,中,2018/4/30 19:23,2018/4/30 19:17,--,--,--,科技频道-精品池
36,4.30.,T-Mobile和Sprint合并，特朗普政府会批准吗？,http://view.inews.qq.com/a/20180430A10MVI00,,雷锋网,科技,高,3,中,2018/4/30 19:00,2018/4/30 18:35,--,--,--,"科技频道-精品池,Top频道-精品池"
37,4.30.,众包地图Waze利用大数据帮助欧洲城市提高紧急响应效率,http://view.inews.qq.com/a/20180430A1184300,,雷锋网,科技,中,3,中,2018/4/30 18:47,2018/4/30 18:45,--,--,--,科技频道-精品池
38,4.30.,中国芯片技术领头人魏少军：清华科研的问题在哪？,http://view.inews.qq.com/a/20180430A0PLV800,,经济观察报,教育,高,3,中,2018/4/30 14:22,2018/4/30 14:16,--,--,--,"要闻频道-精品池,财经频道-精品池,Top频道-精品池,科技频道-精品池,河南地方站-精品池"
39,4.30.,一个代码让所有Windows全崩溃 原因是自动播放,http://view.inews.qq.com/a/20180430A06Y7A00,,中关村在线,科技,中,3,中,2018/4/30 8:38,2018/4/30 6:31,--,--,--,"科技频道-精品池,数码频道-精品池"
40,4.30.,再也无需墙纸，扫地机器人变绘画大师，绘出世界名画,http://view.inews.qq.com/a/20180428V0CCHI00,,,其他,中,3,中,2018/4/30 15:57,2018/4/30 15:50,--,--,--,科技频道-精品池
41,4.30.,媒体加“戏精”，如何把一起普通司乘纠纷搞得满城风雨？,http://view.inews.qq.com/a/20180430A0PMCH00,1,北国骑士,社会,中,3,中,2018/4/30 15:56,2018/4/30 14:16,--,--,--,科技频道-精品池
42,4.30.,半月谈：给钱就刷屏 是谁制造了谣言纷飞的“爆款舆情”,http://view.inews.qq.com/a/20180430A077UQ00,,半月谈网,社会,中,4,中,2018/4/30 7:41,2018/4/30 6:41,--,--,--,"必读频道-精品池,科技频道-精品池,温州地方站-精品池,沧州地方站-精品池,要闻频道-精品池,要闻频道-热点池"
43,4.30.,搞懂区块链项目估值是一个真实持久的难题,http://view.inews.qq.com/a/20180430A0JTTO00,1,Bianews,财经,高,3,中,2018/4/30 15:47,2018/4/30 11:47,--,--,--,"科技频道-精品池,Top频道-精品池"
44,4.30.,记者实地探访：京东“千家”便利店 阿里“万家”小店,http://view.inews.qq.com/a/20180430A0PZ4O00,,IT时报,科技,高,3,中,2018/4/30 15:45,2018/4/30 14:27,--,--,--,"科技频道-精品池,Top频道-精品池"
45,4.30.,新消费品牌如何孵化性感产品？光有颜值是不够的,http://view.inews.qq.com/a/20180430A0MI0P00,,天下网商,科技,高,3,中,2018/4/30 15:48,2018/4/30 12:40,--,--,--,"科技频道-精品池,Top频道-精品池"
46,4.30.,消息称郭明錤已离开凯基证券 今后谁来爆料iPhone动态？,http://view.inews.qq.com/a/20180430A0QLW200,,IT之家,数码,高,3,中,2018/4/30 15:41,2018/4/30 14:46,--,--,--,"科技频道-精品池,Top频道-精品池"
47,4.30.,移动互联网时代SEO怎么做？哪些人能做好？,http://view.inews.qq.com/a/20180430A0KICU00,1,砍柴网,科技,中,3,中,2018/4/30 15:47,2018/4/30 12:01,--,--,--,科技频道-精品池
48,4.30.,电动出租车换电池仅3分钟 智能电动化让出行更便利！,http://view.inews.qq.com/a/20180430A0OREM00,,央视财经,汽车,中,3,中,2018/4/30 15:45,2018/4/30 13:52,--,--,--,科技频道-精品池
49,4.30.,京东要挑战亚马逊？硅谷研究中心负责人：只想把专业知识带回中国,http://view.inews.qq.com/a/20180430A0NF0100,,新智元,科技,中,3,中,2018/4/30 15:44,2018/4/30 13:08,--,--,--,科技频道-精品池
50,4.30.,国家电影局终于发声：立即完善退票机制，将严肃处理票房造假,http://view.inews.qq.com/a/20180430A0PRVG00,,传媒独家,娱乐,高,3,中,2018/4/30 15:37,2018/4/30 14:21,--,--,--,"科技频道-精品池,Top频道-精品池"
51,4.30.,五角大楼在行动：拟设立“联合人工智能中心”与中国展开AI竞争,http://view.inews.qq.com/a/20180430A0NABN00,,新智元,军事,高,3,中,2018/4/30 15:42,2018/4/30 13:05,--,--,--,科技频道-精品池
52,4.30.,保镖为马云开道，下一秒尴尬了，关键时刻还得马云自己出手！,http://view.inews.qq.com/a/20180430V0R6ST00,,,其他,中,3,中,2018/4/30 15:41,2018/4/30 15:13,--,--,--,科技频道-精品池
53,4.30.,马云：大家放心吧，我丈母娘的钱都是放在支付宝的！,http://view.inews.qq.com/a/20180430V0R6T600,,,其他,中,3,中,2018/4/30 15:41,2018/4/30 15:13,--,--,--,科技频道-精品池
54,4.30.,高通专利授权费400美金封顶 对手机厂商和消费者影响有多大？,http://view.inews.qq.com/a/20180430A0E7J600,1,科技有意思,数码,高,3,中,2018/4/30 15:40,2018/4/30 9:59,--,--,--,科技频道-精品池
55,4.30.,一周科技股季报“检验”后，亚马逊和阿里成为市场选择,http://view.inews.qq.com/a/20180430A0S2FS00,,华尔街见闻,财经,中,3,中,2018/4/30 15:28,2018/4/30 15:26,--,--,--,"股票频道-精品池,Top频道-精品池,科技频道-精品池"
56,4.30.,京东联手海淀区人民法院：抢滩法企智慧物流,http://view.inews.qq.com/a/20180430A0G76O00,,亿邦动力网,科技,中,3,中,2018/4/30 15:37,2018/4/30 10:36,--,--,--,科技频道-精品池
57,4.30.,贝佐斯：当前“蓝色起源”最重要 超过亚马逊,http://view.inews.qq.com/a/20180430A0HMLI00,,亿邦动力网,科学,高,3,中,2018/4/30 15:35,2018/4/30 11:06,--,--,--,科技频道-精品池
58,4.30.,小米Mix2S与黑鲨手机游戏对决：你猜谁赢了？,http://view.inews.qq.com/a/20180430A006VF00,,搞机人,游戏,中,3,中,2018/4/30 10:49,2018/4/30 10:45,--,--,--,"数码频道-精品池,科技频道-精品池"
59,4.30.,汽车产业变革前夜，安波福要做智能汽车的“大脑”和“神经系统”,http://view.inews.qq.com/a/20180430A0LS8H00,,36氪,科技,高,3,中,2018/4/30 14:32,2018/4/30 12:22,--,--,--,"科技频道-精品池,Top频道-精品池"
60,4.30.,去中心化的Web 3.0是什么来头？互联网巨头们颤抖吧,http://view.inews.qq.com/a/20180430A0LQCE00,,大数据文摘,科技,高,3,中,2018/4/30 14:31,2018/4/30 12:20,--,--,--,"科技频道-精品池,Top频道-精品池"
61,4.30.,明年开始太空旅行服务，贝索斯的“蓝色起源”火箭成功发射并回收,http://view.inews.qq.com/a/20180430A0I7YD00,,AI星球,科学,高,3,中,2018/4/30 14:33,2018/4/30 11:16,--,--,--,"科技频道-精品池,Top频道-精品池"
62,4.30.,英国第二大超市Sainsbury将与沃尔玛子公司Asda合并,http://view.inews.qq.com/a/TEC2018043001350600,,腾讯科技,科技,高,3,中,2018/4/30 14:44,2018/4/30 14:43,--,--,--,"科技频道-精品池,Top频道-精品池"
63,4.30.,“以柔克刚”的软体机器人，了解一下？,http://view.inews.qq.com/a/20180430A0FPTO00,,钛媒体APP,科学,高,3,中,2018/4/30 10:49,2018/4/30 10:26,--,--,--,"数码频道-精品池,科技频道-精品池,Top频道-精品池"
64,4.30.,为什么“消费降级”突然火了？数字基尼系数给你一点理论支撑,http://view.inews.qq.com/a/20180430A0FNKB00,1,腾讯研究院,房产,高,3,中,2018/4/30 15:07,2018/4/30 10:25,--,--,--,"科技频道-精品池,Top频道-精品池"
65,4.30.,专访林元庆：Aibee第一步做“精准零售”，5月将启动融资,http://view.inews.qq.com/a/20180430A0I83K00,,AI星球,科技,中,3,中,2018/4/30 15:07,2018/4/30 11:16,--,--,--,科技频道-精品池
66,4.30.,印度，国产手机厂商相见的下一个路口,http://view.inews.qq.com/a/20180430A0G65S00,1,pingwest中文网,数码,中,3,中,2018/4/30 10:49,2018/4/30 10:36,--,--,--,"数码频道-精品池,Top频道-精品池,科技频道-精品池"
67,4.30.,董小姐今年要过三大关 十亿元赌局即将见分晓,http://view.inews.qq.com/a/20180430A0O20B00,,TechWeb,科技,中,3,中,2018/4/30 13:33,2018/4/30 13:29,--,--,--,"股票频道-精品池,财经频道-精品池,Top频道-精品池,科技频道-精品池,长沙地方站-精品池"
68,4.30.,《后来的我们》上映3天票房破6亿 大量退票电影局回应,http://view.inews.qq.com/a/20180430A0NRR900,,创业邦,娱乐,高,3,中,2018/4/30 14:16,2018/4/30 13:19,--,--,--,"科技频道-精品池,Top频道-精品池,长沙地方站-精品池"
69,4.30.,《后来的我们》疑似票房作假，奶茶刘若英人设会崩吗？,http://view.inews.qq.com/a/20180430A0EJP800,,pingwest中文网,娱乐,中,3,中,2018/4/30 15:04,2018/4/30 10:05,--,--,--,科技频道-精品池
70,4.30.,4月朋友圈十大谣言：“转5个群才能观看的视频含病毒”排行第一,http://view.inews.qq.com/a/TEC2018043001373300,,谣言过滤器,社会,高,3,中,2018/4/30 15:00,2018/4/30 14:58,--,--,--,科技频道-精品池
71,4.30.,《后来的我们》引发退票潮，这个五一除了青春片，还能看点儿啥？,http://view.inews.qq.com/a/20180430A0Q90800,,投资界,娱乐,中,3,中,2018/4/30 15:01,2018/4/30 14:36,--,--,--,科技频道-精品池
72,4.30.,小米筹集至少100 亿美元的上市计划临近，或本周递交申请,http://view.inews.qq.com/a/20180430A0QR6V00,,爱范儿,科技,中,3,中,2018/4/30 15:01,2018/4/30 14:50,--,--,--,科技频道-精品池
73,4.30.,这款会投影的智能手表，打算将触控屏做到你的手臂上,http://view.inews.qq.com/a/20180430A0D8DQ00,,爱范儿,数码,中,3,中,2018/4/30 9:44,2018/4/30 9:35,--,--,--,"科技频道-精品池,Top频道-精品池,数码频道-精品池,沈阳地方站-精品池"
74,4.30.,欠债还钱，欠技术债，可能还得公司破产,http://view.inews.qq.com/a/20180430A0GXZU00,1,差评,科技,高,3,中,2018/4/30 14:34,2018/4/30 10:53,--,--,--,科技频道-精品池
75,4.30.,全球最大经纪公司CAA要和白夜追凶出品方一起在中国做剧本生意,http://view.inews.qq.com/a/20180430A0IYMW00,,财经天下周刊,娱乐,中,3,中,2018/4/30 14:32,2018/4/30 11:32,--,--,--,科技频道-精品池
76,4.30.,即将离开“保护罩”的万达电影，越来越有“互联网味道”,http://view.inews.qq.com/a/20180430A0J5U500,,虎嗅APP,财经,中,3,中,2018/4/30 11:38,2018/4/30 11:35,--,--,--,"财经频道-精品池,股票频道-精品池,科技频道-精品池"
77,4.30.,自拍美拍人更美 这些“前后2000万”拍照手机能让你美出天际,http://view.inews.qq.com/a/20180430A03LB300,,雷科技,数码,中,3,中,2018/4/30 13:35,2018/4/30 13:15,--,--,--,"数码频道-精品池,科技频道-精品池"
78,4.30.,蓝色起源火箭迎今年首射 普通人的太空旅行或成可能,http://view.inews.qq.com/a/20180430V0O12900,,,其他,高,3,中,2018/4/30 14:17,2018/4/30 13:35,--,--,--,"科技频道-精品池,Top频道-精品池"
79,4.30.,《后来的我们》真的造假了吗？,http://view.inews.qq.com/a/20180430A0HX3I00,1,钛媒体APP,娱乐,中,3,中,2018/4/30 14:25,2018/4/30 11:10,--,--,--,科技频道-精品池
80,4.30.,一加、锤子抢小米风头？这些重磅新机有望在5月现身,http://view.inews.qq.com/a/20180430A03FOD00,,雷科技,数码,中,3,中,2018/4/30 13:35,2018/4/30 13:00,--,--,--,"数码频道-精品池,科技频道-精品池"
81,4.30.,从Uber到自营，A轮后“权大师”还会探索商标交易业务,http://view.inews.qq.com/a/20180430A0NTZ200,,36氪,科技,中,3,中,2018/4/30 14:24,2018/4/30 13:21,--,--,--,科技频道-精品池
82,4.30.,惊艳美国，吓坏同行，电动汽车配全面屏，神设计带你提前体验未来,http://view.inews.qq.com/a/20180430A0LO9B00,,金错刀,其他,高,3,中,2018/4/30 14:18,2018/4/30 12:19,--,--,--,科技频道-精品池
83,4.30.,用外卖业务反击美团，可能是滴滴的一个战略错误,http://view.inews.qq.com/a/20180430A0OEDV00,1,歪道道,科技,高,3,中,2018/4/30 14:08,2018/4/30 13:39,--,--,--,"科技频道-精品池,Top频道-精品池"
84,4.30.,PayPal新专利 佩戴智能眼镜通过VR的方式完成购物支付,http://view.inews.qq.com/a/TEC2018043001292400,,腾讯科技,科技,高,3,中,2018/4/30 14:07,2018/4/30 14:03,--,--,--,科技频道-精品池
85,4.30.,一键拥有女神身材！当AI遇见直播，不只美颜这么简单了,http://view.inews.qq.com/a/20180430A0I7PB00,,AI星球,科技,高,3,中,2018/4/30 12:54,2018/4/30 11:16,--,--,--,科技频道-精品池
86,4.30.,委内瑞拉分配石油币预售所得：10亿美元“输血”央行,http://view.inews.qq.com/a/20180430A08J1C00,,链得得APP,财经,中,3,中,2018/4/30 8:40,2018/4/30 7:26,--,--,--,"科技频道-精品池,财经频道-精品池,股票频道-精品池"
87,4.30.,被滴滴司机殴打的滴滴投资人再发文：警方已找到嫌疑人,http://view.inews.qq.com/a/TEC2018043001212300,,法制晚报,社会,中,3,中,2018/4/30 12:35,2018/4/30 12:33,--,--,--,科技频道-精品池
88,4.30.,董明珠连任格力电器董事长几无悬念，银隆怎么办？,http://view.inews.qq.com/a/20180430A0K19200,,中国企业家,科技,高,3,中,2018/4/30 11:52,2018/4/30 11:51,--,--,--,"财经频道-精品池,股票频道-精品池,Top频道-精品池,科技频道-精品池,广东地方站-精品池"
89,4.30.,韩国又火了：发明世界首台“巨型载人机器人”高4米重1.5吨,http://view.inews.qq.com/a/20180429V0VTS600,,,其他,中,3,中,2018/4/30 12:17,2018/4/29 16:46,--,--,--,科技频道-精品池
90,4.30.,“京腾计划”3.0背后：未来零售卡位战,http://view.inews.qq.com/a/20180430A0IOF500,,经济观察报,科技,中,3,中,2018/4/30 12:17,2018/4/30 11:26,--,--,--,科技频道-精品池
91,4.30.,IBM 裁员猝不及防：40岁以上的员工，请自觉离开,http://view.inews.qq.com/a/20180430A0K0YD00,,中国企业家,科技,高,3,中,2018/4/30 11:54,2018/4/30 11:51,--,--,--,"Top频道-精品池,科技频道-精品池"
92,4.30.,王晓峰离开摩拜的下午,http://view.inews.qq.com/a/20180430A0K15W00,,中国企业家,科技,高,4,中,2018/4/30 12:15,2018/4/30 11:51,--,--,--,科技频道-精品池
93,4.30.,一线 | 美图秀秀品牌升级 从图片处理工具升级为社区平台,http://view.inews.qq.com/a/TEC2018043001071900,,腾讯科技,科技,高,3,中,2018/4/30 12:09,2018/4/30 10:58,--,--,--,"科技频道-精品池,Top频道-精品池"
94,4.30.,比特币的信仰史，你不知道的前世今生,http://view.inews.qq.com/a/20180430A0GBJF00,,区块链蓝海,科技,高,3,中,2018/4/30 12:09,2018/4/30 10:39,--,--,--,"科技频道-精品池,Top频道-精品池"
95,4.30.,蓝色起源成功发射火箭，2019年即可载人太空旅行,http://view.inews.qq.com/a/20180430A0KUG100,,猎云网,科学,中,3,中,2018/4/30 12:10,2018/4/30 12:07,--,--,--,科技频道-精品池
96,4.30.,李稻葵：中国政府欢迎谷歌来中国 前提条件是国家安全问题要配合,http://view.inews.qq.com/a/20180430A0IRDS00,,AI财经社,时政,中,3,中,2018/4/30 11:30,2018/4/30 11:27,--,--,--,"科技频道-精品池,要闻频道-精品池,财经频道-精品池,股票频道-精品池"
97,4.30.,缓解焦虑，声音贩卖这门生意真的这么神奇？,http://view.inews.qq.com/a/20180428V0SP5900,,,其他,中,3,中,2018/4/30 11:38,2018/4/28 14:18,--,--,--,科技频道-精品池
98,4.30.,摩拜启示录：一局未赢下的比赛，与一个未结束的故事,http://view.inews.qq.com/a/20180430A0FRGG00,,极客公园,科技,中,4,中,2018/4/30 11:08,2018/4/30 10:27,--,--,--,"科技频道-精品池,Top频道-精品池"
99,4.30.,一线 | 滴滴司机打人事件细节：事发时没有醉酒 司机已找到,http://view.inews.qq.com/a/TEC2018043001067100,,腾讯科技,社会,高,3,中,2018/4/30 11:02,2018/4/30 10:55,--,--,--,"科技频道-精品池,Top频道-精品池"
100,4.30.,孙宏斌王健林亮相青岛东方影都，宣布共设50亿元影视专项资金,http://view.inews.qq.com/a/20180430A0CV4100,,36氪,财经,中,3,中,2018/4/30 9:28,2018/4/30 9:26,--,--,--,"科技频道-精品池,财经频道-精品池,Top频道-精品池,房产频道-精品池"
101,4.30.,《后来的我们》，什么都有了，但还是退掉了电影票,http://view.inews.qq.com/a/20180430A0BF5O00,,娱乐资本论,娱乐,中,3,中,2018/4/30 9:02,2018/4/30 8:56,--,--,--,"娱乐频道-精品池,长沙地方站-精品池,科技频道-精品池,Top频道-精品池,电影频道-精品池"
102,4.30.,小米MIX2、努比亚Z17S、诺基亚8全面降价，哪款值得买？,http://view.inews.qq.com/a/20180430A0ACPP00,,郭静的互联网圈,数码,中,3,中,2018/4/30 8:33,2018/4/30 8:23,--,--,--,"科技频道-精品池,数码频道-精品池"
103,4.30.,三种外观版本 你觉得iPhoneSE2最终会是哪一种？,http://view.inews.qq.com/a/20180429A1H45C00,1,科技有意思,数码,中,3,中,2018/4/30 8:55,2018/4/30 8:23,--,--,--,"科技频道-精品池,数码频道-精品池"
104,4.30.,滴滴被打乘客：已找到司机嫌疑人，可以还我“清白”了,http://view.inews.qq.com/a/20180430A0CCW400,,AI财经社,社会,高,3,中,2018/4/30 9:21,2018/4/30 9:14,--,--,--,"科技频道-精品池,Top频道-精品池,汽车频道-精品池"
105,4.30.,对话被滴滴司机殴打滴滴投资人：他要取消订单，我发火骂了他,http://view.inews.qq.com/a/20180430A0AWKQ00,,AI财经社,科技,高,3,中,2018/4/30 8:43,2018/4/30 8:40,--,--,--,"科技频道-精品池,财经频道-精品池,股票频道-精品池,Top频道-精品池,汽车频道-精品池"
106,4.30.,手机断网也没事！昨天你有没有体验刷二维码乘北京地铁？,http://view.inews.qq.com/a/20180430A0B3JL00,,新京报,社会,高,3,中,2018/4/30 8:53,2018/4/30 8:46,--,--,--,"北京分站-精品池,科技频道-精品池,Top频道-精品池"
107,4.30.,Airbnb技术经理：这6点，让你从技术骨干到优秀主管,http://view.inews.qq.com/a/20180430A0DSDF00,,InfoQ,职场,高,3,中,2018/4/30 9:49,2018/4/30 9:48,--,--,--,"职场频道-流量池,科技频道-精品池,Top频道-精品池"
108,4.30.,美国电信业世界大并购：T-Mobile和Sprint换股合并,http://view.inews.qq.com/a/20180430A0CJA900,,华尔街见闻,科技,中,3,中,2018/4/30 9:41,2018/4/30 9:18,--,--,--,"股票频道-精品池,财经频道-精品池,Top频道-精品池,科技频道-精品池"
